LOCALDATE,RVR_1A,MOR_1A,LIGHTS,PAINS,QNH AERODROME,QFE R06,TEMP,RH,DEWPOINT,WS2A,WD2A,CW2A
2020/3/12 08:00,3000,3000,100,1016.9,1018.44,1016.88,9.7,85,7.32,1.47,70,0.31
2020/3/12 08:00,3000,3000,100,1016.92,1018.47,1016.9,9.72,85,7.35,1.49,69,0.29
2020/3/12 08:00,3000,3000,100,1016.95,1018.49,1016.93,9.75,85,7.37,1.57,66,0.22
2020/3/12 08:00,3000,3100,100,1016.98,1018.51,1016.96,9.78,85,7.39,1.6,64,0.17
2020/3/12 08:01,3000,3100,100,1017,1018.54,1016.98,9.8,85,7.42,1.57,65,0.19
2020/3/12 08:01,3000,3100,100,1017,1018.54,1016.98,9.8,84.75,7.38,1.53,66,0.21
2020/3/12 08:01,3000,3100,100,1017,1018.54,1016.98,9.8,84.5,7.33,1.53,63,0.13
2020/3/12 08:01,3000,3100,100,1017,1018.54,1016.98,9.8,84.25,7.29,1.55,59,0.03
2020/3/12 08:02,3000,3100,100,1017,1018.54,1016.98,9.8,84,7.24,1.56,57,-0.03
2020/3/12 08:02,3000,3100,100,1017.02,1018.56,1017,9.83,84,7.27,1.58,55,-0.08
2020/3/12 08:02,3000,3100,100,1017.05,1018.59,1017.03,9.85,84,7.29,1.53,53,-0.13
2020/3/12 08:02,3000,3100,100,1017.08,1018.62,1017.06,9.88,84,7.31,1.53,51,-0.19
2020/3/12 08:03,3000,3100,100,1017.1,1018.64,1017.08,9.9,84,7.34,1.48,48,-0.26
2020/3/12 08:03,3000,3100,100,1017.1,1018.64,1017.08,9.9,84,7.34,1.48,45,-0.33
2020/3/12 08:03,3000,3100,100,1017.1,1018.64,1017.08,9.9,84,7.34,1.52,47,-0.29
2020/3/12 08:03,3000,3100,100,1017.1,1018.64,1017.08,9.9,84,7.34,1.56,49,-0.24
2020/3/12 08:04,3000,3100,100,1017.1,1018.64,1017.08,9.9,84,7.34,1.62,52,-0.17
2020/3/12 08:04,3000,3100,100,1017.1,1018.64,1017.08,9.93,84,7.37,1.67,55,-0.09
2020/3/12 08:04,3000,3100,100,1017.1,1018.64,1017.08,9.95,84,7.39,1.79,58,0
2020/3/12 08:04,3000,3100,100,1017.1,1018.64,1017.08,9.97,84,7.42,1.85,61,0.1
2020/3/12 08:05,3000,3100,100,1017.1,1018.64,1017.08,10,84,7.44,1.91,63,0.17
2020/3/12 08:05,3000,3100,100,1017.1,1018.64,1017.08,10,83.75,7.4,2.08,66,0.29
2020/3/12 08:05,3000,3000,100,1017.1,1018.64,1017.08,10,83.5,7.36,2.18,68,0.38
2020/3/12 08:05,3000,3000,100,1017.1,1018.64,1017.08,10,83.25,7.31,2.27,70,0.47
2020/3/12 08:06,3000,3000,100,1017.1,1018.64,1017.08,10,83,7.27,2.37,72,0.57
2020/3/12 08:06,3000,3000,100,1017.1,1018.64,1017.08,10.03,83.25,7.34,2.45,73,0.63
2020/3/12 08:06,3000,3000,100,1017.1,1018.64,1017.08,10.05,83.5,7.4,2.51,75,0.73
2020/3/12 08:06,3000,3100,100,1017.1,1018.64,1017.08,10.07,83.75,7.47,2.61,77,0.85
2020/3/12 08:07,3000,3100,100,1017.1,1018.64,1017.08,10.1,84,7.54,2.75,78,0.94
2020/3/12 08:07,3000,3100,100,1017.1,1018.64,1017.08,10.12,84,7.56,2.75,79,0.99
2020/3/12 08:07,3000,3100,100,1017.1,1018.64,1017.08,10.15,84,7.59,2.72,80,1.02
2020/3/12 08:07,3000,3100,100,1017.1,1018.64,1017.08,10.17,84,7.62,2.65,82,1.08
2020/3/12 08:08,3000,3100,100,1017.1,1018.64,1017.08,10.2,84,7.64,2.59,83,1.09
2020/3/12 08:08,3000,3100,100,1017.08,1018.62,1017.06,10.2,83.75,7.59,2.61,84,1.14
2020/3/12 08:08,3000,3100,100,1017.05,1018.59,1017.03,10.2,83.5,7.55,2.6,84,1.14
2020/3/12 08:08,3000,3100,100,1017.02,1018.56,1017,10.2,83.25,7.5,2.59,84,1.14
2020/3/12 08:09,3000,3100,100,1017,1018.54,1016.98,10.2,83,7.46,2.57,83,1.09
2020/3/12 08:09,3000,3100,100,1017,1018.54,1016.98,10.22,83.25,7.53,2.5,83,1.06
