LOCALDATE (BEIJING),SITE,PAINS (HPA),QNH AERODROME (HPA),ST,QFE R06 (HPA),ST,QFE R24 (HPA),ST,QFF AERODROME (HPA),TREND,TENDENCY,TEMP (°C),RH (%),DEWPOINT (°C),TU DATA
2019/12/15 08:00:00,R06,1023.3,1024.84, ,1023.28, ,1023.45, ,1024.89,0.3,1,8.6,90,7.06,   8.6    90 61A5
2019/12/15 08:01:00,R06,1023.3,1024.84, ,1023.28, ,1023.45, ,1024.89,0.3,1,8.6,90,7.06,   8.6    90 61A5
2019/12/15 08:02:00,R06,1023.3,1024.84, ,1023.28, ,1023.45, ,1024.89,0.3,1,8.7,90,7.16,   8.7    90 2676
2019/12/15 08:03:00,R06,1023.3,1024.84, ,1023.28, ,1023.45, ,1024.89,0.3,1,8.8,90,7.26,   8.8    90 FFB4
2019/12/15 08:04:00,R06,1023.3,1024.84, ,1023.28, ,1023.45, ,1024.89,0.3,1,8.9,90,7.36,   8.9    90 B867
2019/12/15 08:05:00,R06,1023.3,1024.84, ,1023.28, ,1023.45, ,1024.89,0.3,1,9,89,7.3,   9.0    89 0383
2019/12/15 08:06:00,R06,1023.3,1024.84, ,1023.28, ,1023.45, ,1024.89,0.3,1,9.1,89,7.39,   9.1    89 4450
2019/12/15 08:07:00,R06,1023.2,1024.74, ,1023.18, ,1023.35, ,1024.79,0.3,1,9.2,88,7.33,   9.2    88 BF14
2019/12/15 08:08:00,R06,1023.3,1024.84, ,1023.28, ,1023.45, ,1024.89,0.3,1,9.2,87,7.16,   9.2    87 AF2A
2019/12/15 08:09:00,R06,1023.3,1024.85, ,1023.28, ,1023.45, ,1024.89,0.3,1,9.2,87,7.16,   9.2    87 AF2A
2019/12/15 08:10:00,R06,1023.3,1024.85, ,1023.28, ,1023.45, ,1024.89,0.2,2,9.2,87,7.16,   9.2    87 AF2A
2019/12/15 08:11:00,R06,1023.3,1024.85, ,1023.28, ,1023.45, ,1024.89,0.2,2,9.3,87,7.26,   9.3    87 E8F9
2019/12/15 08:12:00,R06,1023.3,1024.85, ,1023.28, ,1023.45, ,1024.89,0.2,2,9.4,87,7.36,   9.4    87 2FE1
2019/12/15 08:13:00,R06,1023.3,1024.85, ,1023.28, ,1023.45, ,1024.89,0.2,2,9.4,86,7.19,   9.4    86 1CD0
2019/12/15 08:14:00,R06,1023.3,1024.85, ,1023.28, ,1023.45, ,1024.89,0.2,2,9.5,86,7.29,   9.5    86 5B03
2019/12/15 08:15:00,R06,1023.3,1024.85, ,1023.28, ,1023.45, ,1024.89,0.2,2,9.5,86,7.29,   9.5    86 5B03
2019/12/15 08:16:00,R06,1023.3,1024.85, ,1023.28, ,1023.45, ,1024.89,0.2,2,9.5,85,7.12,   9.5    85 0E50
2019/12/15 08:17:00,R06,1023.3,1024.85, ,1023.28, ,1023.45, ,1024.88,0.2,2,9.6,85,7.22,   9.6    85 C625
2019/12/15 08:18:00,R06,1023.3,1024.85, ,1023.28, ,1023.45, ,1024.88,0.2,2,9.6,85,7.22,   9.6    85 C625
2019/12/15 08:19:00,R06,1023.3,1024.85, ,1023.28, ,1023.45, ,1024.88,0.2,2,9.7,85,7.32,   9.7    85 81F6
2019/12/15 08:20:00,R06,1023.3,1024.85, ,1023.28, ,1023.45, ,1024.88,0.2,2,9.7,85,7.32,   9.7    85 81F6
2019/12/15 08:21:00,R06,1023.3,1024.85, ,1023.28, ,1023.45, ,1024.88,0.2,2,9.8,85,7.42,   9.8    85 5834
2019/12/15 08:22:00,R06,1023.3,1024.85, ,1023.28, ,1023.45, ,1024.88,0.2,2,9.8,84,7.24,   9.8    84 6B05
2019/12/15 08:23:00,R06,1023.3,1024.85, ,1023.28, ,1023.45, ,1024.88,0.2,2,9.9,84,7.34,   9.9    84 2CD6
2019/12/15 08:24:00,R06,1023.3,1024.85, ,1023.28, ,1023.45, ,1024.88,0.2,2,9.9,84,7.34,   9.9    84 2CD6
2019/12/15 08:25:00,R06,1023.3,1024.85, ,1023.28, ,1023.45, ,1024.88,0.2,2,9.8,85,7.42,   9.8    85 5834
